Fostick, Leah;Leah Fostick;Ariel University
Frahm, Jens;Jens Frahm;Biomedical NMR, Max-Planck-Institute for Biophysical Chemistry, Göttingen
Voit, Dirk;Dirk Voit;Biomedical NMR, Max-Planck-Institute for Biophysical Chemistry, Göttingen
Joseph, Arun;Arun Joseph;Biomedical NMR, Max-Planck-Institute for Biophysical Chemistry, Göttingen
Atlas, Lian;Lian Atlas;Gordon College
Cooper, Patrick;Patrick Cooper;University of South Florida
Wen, Olivia Xin;Olivia Xin Wen;Cornell University
Bamford, Joshua S.;Joshua S. Bamford;Finnish Centre for Interdisciplinary Music Research, University of Jyväskylä
Zayas, Vivian;Vivian Zayas;Cornell University
Toiviainen, Petri;Petri Toiviainen;University of Jyväskylä
Rigoli, Carson G Miller;Carson G Miller Rigoli;University of California, San Diego
Creel, Sarah C;Sarah C Creel;University of California, San Diego
Tranchant, Pauline;Pauline Tranchant;McGill University
Scholler, Eleonore;Eleonore Scholler;McGill University
Barradas, Gonçalo T.;Gonçalo T. Barradas;Uppsala Universitet
Cariani, Peter A;Peter A Cariani;Boston University
Battcock, Aimee E;Aimee E Battcock;McMaster University
Ho, Hubert;Hubert Ho;Northeastern University
Abrams, Ellie B;Ellie B Abrams;New York University
Lorenz, Taina;Taina Lorenz;University of Washington
Morrison, Steven;Steven Morrison;University of Washington
Pelofi, Claire;Claire Pelofi;New York University
Clingain, Clare;Clare Clingain;New York University
Scott, Marc;Marc Scott;New York University
Schon, Daniele;Daniele Schon;Institut de Neurosciences des Systems
Farbood, Morwaread;Morwaread Farbood;New York University
Good, Arla;Arla Good;Ryerson University
Pachete, Alexander;Alexander Pachete;Ryerson University
Kreutz, Gunter;Gunter Kreutz;Carl von Ossietzky Universität Oldenburg
Fiocco, Alexandra;Alexandra Fiocco;Ryerson University
Copelli, Fran;Fran Copelli;Ryerson University
Russo, Frank;Frank Russo;Ryerson University
Agrawal, Tanushree;Tanushree Agrawal;University of California, San Diego
Lee, Michelle;Michelle Lee;University of California, San Diego
Calcetas, Amanda;Amanda Calcetas;University of California, San Diego
Clarke, Danielle;Danielle Clarke;University of California, San Diego
Lin, Naomi;Naomi Lin;University of California, San Diego
Schachner, Adena;Adena Schachner;University of California, San Diego
Layeghi, Hamed;Hamed Layeghi;McGill University
Wanderley, Marcelo;Marcelo Wanderley;McGill University
Rottman, Josh;Josh Rottman;Franklin & Marshall College
Davis, Stacey;Stacey Davis;University of Texas at San Antonio
Duane, Ben;Ben Duane;Washington University in St. Louis
Christensen, Justin;Justin Christensen;University of Saskatchewan
Slavik, Lauren;Lauren Slavik;University of Alberta
Nicol, Jennifer;Jennifer Nicol;University of Saskatchewan
Loehr, Janeen;Janeen Loehr;University of Saskatchewan
Chander, Aditya;Aditya Chander;Stanford University
Huberth, Madeline;Madeline Huberth;Stanford University
Silverstein, Samantha;Samantha Silverstein;Center for Computer Research in Music and Acoustics, Stanford University
Fujioka, Takako;Takako Fujioka;Center for Computer Research in Music and Acoustics, Stanford University
Holland, Seth T;Seth T Holland;Georgia Institute of Technology
Brandon, Melissa;Melissa Brandon;Bridgewater State University
Nave, Karli;Karli Nave;University of Nevada, Las Vegas
Kinghorn, Elizabeth E;Elizabeth E Kinghorn;University of Western Ontario
